OBJECTID,Well Number,Sample Date and Time,Static DTW,Total Well Depth,Delta Height,Volume of Standing Water,Volume to be Removed,Actual Volume Removed,Purging Method,Well Recovery,Pump Flow Rate,Purge Start,Purge Time,Depth to Water After Purge,Sample Appearance,Sample Odor,Sample Parameters,Metals,Laboratory,Date Shipped,GlobalID
1,MW-3,9/26/2018 6:00:37 PM,4.09,14.4,10.31,6.73,20.19,4,Submersible Pump,Good,,9/26/2018 5:48:11 PM,12,5.23,Clear,None,,,SGS,9/26/2018 7:00:30 PM,579d9b3b-d031-4044-908a-5b9e005e311b
2,7B-MW-1,9/26/2018 6:45:47 PM,2.45,,,,,1.5,Submersible Pump,Good,,9/26/2018 6:36:23 PM,8,6.39,,None,,,SGS,,03207135-3d89-4192-ac42-48494d0c75c2
4,MW-9,9/26/2018 7:25:26 PM,1.49,12,10.51,1.72,5.16,1,Submersible Pump,Good,,9/26/2018 7:15:31 PM,10,2.25,Turbid,None,,,SGS,,54542ecd-4c07-41bd-9662-b9366ceb211a
5,MW-5,9/27/2018 11:40:19 AM,2.01,16,13.99,2.28,6.84,3,Submersible Pump,Good,,9/27/2018 11:23:45 AM,15,3.08,Slightly Turbid,Strong,,,SGS,9/27/2018 6:45:00 PM,aca7780b-9839-4d01-8e29-276e73bc0b91
6,MW-6,9/27/2018 12:15:27 PM,1.95,16,14.05,2.29,6.87,2.75,Submersible Pump,Good,,9/27/2018 12:00:50 PM,12,2.04,Clear,None,,,SGS,,69c6177e-b394-4a0a-a234-e9d67488dc94
7,MW-8,9/27/2018 1:00:39 PM,1.62,10,8.38,1.37,4.11,3,Submersible Pump,Good,,9/27/2018 12:48:54 PM,12,1.608,Slightly Turbid,Strong,,,SGS,,4effe687-4da8-4fed-9e39-d411c6fef8bb
8,MW-10,9/28/2018 1:35:17 AM,1.3,12,10.7,1.75,5.25,4,Submersible Pump,Good,,9/27/2018 1:22:25 PM,13,1.32,Slightly Turbid,None,"8270 SIM 1,4 Dioxane, 8260 TCL +20, 8011",,SGS,,15daff3f-be49-43b9-aa64-e989e40d94fd
9,MW-11,9/27/2018 2:15:18 PM,0.82,11,10.18,1.66,4.98,3.5,Submersible Pump,Good,,9/27/2018 1:59:58 PM,8,1.25,Clear,None,,,SGS,,2bf1541c-7f10-44d5-9f14-b6730417de6d
11,62W-MW-2,9/27/2018 2:50:07 PM,4.31,,,,,,Submersible Pump,Good,,9/27/2018 2:34:00 PM,16,6.49,Slightly Turbid,None,,,SGS,,65b9cad2-20bc-4bb4-80a3-03d226d299a9
12,MW-12,9/28/2018 3:20:41 AM,2.11,13,10.89,1.78,5.34,2,Submersible Pump,Good,,9/27/2018 3:07:54 PM,13,4.23,Turbid,None,,,SGS,,557ecfb0-fc37-41a3-9516-dcaecf55e9a4
13,62W-MW-3,9/27/2018 4:45:04 PM,4.94,,,,,,Submersible Pump,Good,,9/27/2018 4:30:38 PM,15,7.12,Turbid,None,,,SGS,,473569e0-0694-457d-8532-6396e3323aa9
14,64W-MW-4,9/27/2018 5:20:37 PM,4.54,,,,,,Submersible Pump,Good,,9/27/2018 5:02:57 PM,12,6.25,Slightly Turbid,None,,,SGS,,7533a600-1eda-4196-b05e-e4e699eed7eb
15,MW-4,9/28/2018 12:45:28 PM,5.08,16,10.92,1.78,5.34,4.5,Submersible Pump,Good,,9/28/2018 12:25:30 PM,12,4.08,Clear,None,,,SGS,9/28/2018 5:15:00 PM,e35bdb96-058f-4219-a45c-bbd804968236
16,MW-1,9/28/2018 1:15:48 PM,4.42,18,13.58,8.86,26.58,3.5,Submersible Pump,Good,,9/28/2018 1:03:40 PM,15,4.26,Clear,Strong,,,SGS,9/28/2018 5:15:00 PM,b6201986-b316-4d3f-a424-d1b0f00c2332
17,MW-2,9/28/2018 2:00:16 PM,3.27,15,11.73,7.66,22.98,3.5,Submersible Pump,Good,,9/28/2018 1:39:38 PM,18,4.22,Slightly Turbid,None,,,SGS,9/28/2018 5:15:00 PM,7af7c05c-a440-40b3-b6d7-a74f6b13e871
18,MW-7,9/28/2018 2:45:38 PM,3.24,16,12.76,2.08,6.24,3.5,Submersible Pump,Good,,9/28/2018 2:14:49 PM,12,5.78,Slightly Turbid,None,,,SGS,9/28/2018 5:15:00 PM,e37fae2b-7da0-49d1-9d72-083eb7865e4b
