Taxon,Longitude,Latitude,Country,ADM1_NAME,ADM2_NAME
coffee,-88.31249522,13.43750383,El Salvador,San Miguel,San Jorge
coffee,-88.27082855,13.43750383,El Salvador,San Miguel,San Miguel
coffee,-88.52082856,13.4791705,El Salvador,Usulutan,Berlin
coffee,-88.56249523,13.52083717,El Salvador,Usulutan,Berlin
coffee,-88.43749522,13.52083717,El Salvador,Usulutan,Jucuapa
coffee,-89.18749526,13.56250384,El Salvador,San Salvador,Panchimalco
coffee,-88.81249524,13.56250384,El Salvador,San Vicente,San Vicente
coffee,-89.43749528,13.60417051,El Salvador,La Libertad,Tamanique
coffee,-89.14582859,13.60417051,El Salvador,La Paz,Olocuilta
coffee,-88.93749525,13.60417051,El Salvador,La Paz,San Pedro Nonualco
coffee,-89.56249528,13.64583717,El Salvador,Sonsonate,Santa Isabel Ishuatan
coffee,-89.52082861,13.64583717,El Salvador,La Libertad,Teotepeque
coffee,-89.43749528,13.64583717,El Salvador,La Libertad,Tamanique
coffee,-89.39582861,13.64583717,El Salvador,La Libertad,Comasagua
coffee,-89.31249527,13.64583717,El Salvador,La Libertad,Nueva San Salvador
coffee,-89.2708286,13.64583717,El Salvador,La Libertad,Nuevo Cuscatlan
coffee,-89.43749528,13.68750384,El Salvador,La Libertad,Jayaque
coffee,-89.2708286,13.68750384,El Salvador,La Libertad,Antiguo Cuscatlan
coffee,-88.93749525,13.68750384,El Salvador,Cuscatlan,San Ramon
coffee,-89.47916195,13.72917051,El Salvador,La Libertad,Sacacoyo
coffee,-89.31249527,13.72917051,El Salvador,La Libertad,Colo
coffee,-88.27082855,13.72917051,El Salvador,San Miguel,Ciudad Barrios
coffee,-88.22916188,13.72917051,El Salvador,Morazan,Guatajiagua
coffee,-89.89582863,13.77083718,El Salvador,Ahuachapan,Jujutla
coffee,-89.8124953,13.77083718,El Salvador,Ahuachapan,San Pedro Puxtla
coffee,-89.35416194,13.77083718,El Salvador,La Libertad,San Juan Opico
coffee,-89.31249527,13.77083718,El Salvador,La Libertad,Quezaltepeque
coffee,-89.2708286,13.77083718,El Salvador,La Libertad,Quezaltepeque
coffee,-88.22916188,13.77083718,El Salvador,Morazan,San Simon
coffee,-88.18749521,13.77083718,El Salvador,Morazan,Osicala
coffee,-89.77082863,13.81250385,El Salvador,Sonsonate,Santa Catarina Masahuat
coffee,-89.60416195,13.81250385,El Salvador,Santa Ana,Santa Ana
coffee,-89.31249527,13.81250385,El Salvador,La Libertad,Quezaltepeque
coffee,-88.27082855,13.81250385,El Salvador,San Miguel,Carolina
coffee,-89.97916197,13.85417052,El Salvador,Ahuachapan,San Francisco Menendez
coffee,-87.85416186,13.85417052,El Salvador,La Union,Nueva Esparta
coffee,-89.97916197,13.89583719,El Salvador,Ahuachapan,Tacuba
coffee,-89.89582863,13.89583719,El Salvador,Ahuachapan,Tacuba
coffee,-89.8124953,13.89583719,El Salvador,Santa Ana,Chalcuapa
coffee,-89.72916196,13.89583719,El Salvador,Sonsonate,Juayua
coffee,-89.77082863,13.93750386,El Salvador,Santa Ana,Chalcuapa
coffee,-89.47916195,13.93750386,El Salvador,Santa Ana,Coatepeque
coffee,-88.14582854,13.93750386,El Salvador,Morazan,Arambala
coffee,-89.68749529,13.97917052,El Salvador,Ahuachapan,Ahuachapan
coffee,-89.56249528,13.97917052,El Salvador,Santa Ana,Santa Ana
coffee,-89.56249528,14.02083719,El Salvador,Santa Ana,Santa Ana
coffee,-89.60416195,14.06250386,El Salvador,Santa Ana,Candelaria De La Frontera
coffee,-89.68749529,14.10417053,El Salvador,Ahuachapan,Ahuachapan
coffee,-89.64582862,14.10417053,El Salvador,Santa Ana,Candelaria De La Frontera
coffee,-88.93749525,14.1458372,El Salvador,Chalatenango,La Laguna
coffee,-89.14582859,14.18750387,El Salvador,Chalatenango,Tejutla
coffee,-89.14582859,14.27083721,El Salvador,Chalatenango,La Reina
coffee,-89.10416193,14.27083721,El Salvador,Chalatenango,San Francisco Morazan
coffee,-89.31249527,14.31250388,El Salvador,Santa Ana,Metapan
coffee,-89.14582859,14.31250388,El Salvador,Chalatenango,La Palma
